Company,Location,Job Title,min_salary,max_salary,avg_salary
Attento Technologies Pvt Ltd,"Pune, Pimpri-Chinchwad",Software Engineer (Frontend),10000.0,10000.0,10000.0
Digicians,Ahmedabad,Data Engineer,5000.0,6500.0,5750.0
CodingCraft By KBD Group,Pune,Software Engineer (Backend),13000.0,15000.0,14000.0
BVR Technosoft Solution,Gurgaon,Full Stack Developer,12000.0,12000.0,12000.0
QuantGlobal,"Delhi, Ghaziabad, Greater Noida, Noida",Data Engineer,15000.0,20000.0,17500.0
Across The Globe (ATG),Work from home,Software Engineer (Frontend),2500.0,4000.0,3250.0
Loan For India,Mumbai,Data Scientist,5000.0,10000.0,7500.0
Digital Heroes,Lucknow,Data Scientist,10000.0,25000.0,17500.0
Shrevya Technologies,Work from home,Junior Developer,15000.0,15000.0,15000.0
OBLYTECH INDIA PRIVATE LIMITED,Work from home,Data Scientist,6500.0,6500.0,6500.0
Loan For India,Mumbai,Web Development,5000.0,10000.0,7500.0
Sixnine Galaxies Private Limited,Work from home,Full Stack Developer,5000.0,10000.0,7500.0
Fountainhead Prep,Work from home,Full Stack Developer,25000.0,25000.0,25000.0
APA Engineering,Chennai,iOS Developer,12500.0,15000.0,13750.0
Pehchaan AI Technologies,Chandigarh,Full Stack Developer,10000.0,15000.0,12500.0
Indian Robotics Solution,Noida,Cybersecurity Analyst,6000.0,8000.0,7000.0
Ace 360,Mumbai,Mobile Developer,5000.0,10000.0,7500.0
TGC Technologies Private Limited,Pune,Data Scientist,7000.0,7000.0,7000.0
VrajPath ITech LLP,Work from home,Data Scientist,10000.0,15000.0,12500.0
XpertStim IT Services Pvt. Ltd.,Pune,Data Scientist,7000.0,35000.0,21000.0
TechStat Dynamics,Ludhiana,Data Scientist,8000.0,10000.0,9000.0
Decour Homes,Work from home,Data Scientist,5000.0,7000.0,6000.0
Blazonlabs Itech Private Limited,Jaipur,Web Development,10000.0,14000.0,12000.0
Main Marshals,Lucknow,Machine Learning Engineer,8000.0,10000.0,9000.0
InterviewVector,Gurgaon,Software Engineer (Backend),25000.0,30000.0,27500.0
And We Support,Jaipur,QA Engineer,5000.0,10000.0,7500.0
BELAKHEDA UDAY BHARTI SAMAJ KALYAN SAMITEE,"Chennai, Bangalore",Software Engineer (Frontend),8000.0,10000.0,9002.5
Sathmile Rehabilitetion Centre For Disabled,Work from home,Mobile Developer,8000.0,10000.0,9002.5
R.K. Bhandari & Co.,Work from home,Full Stack Developer,5000.0,6000.0,5500.0
Neolytix,"Delhi, Gurgaon",Software Engineer (Backend),15000.0,18000.0,16500.0
Bezt Labs,Work from home,Data Scientist,10000.0,11000.0,10500.0
Visible Gain,Work from home,Web Development,5000.0,5000.0,5000.0
LUMINELLE INFRATECH PRIVATE LIMITED,Noida,Data Scientist,10000.0,15000.0,12500.0
Designing World,Work from home,Web Development,1300.0,1500.0,1400.0
SortWind Private Limited,Work from home,Data Scientist,4000.0,4000.0,4000.0
Bound Fresh,Work from home,Data Scientist,9000.0,12000.0,10500.0
Kidzian Private Limited,Work from home,Machine Learning Engineer,1500.0,2000.0,1750.0
Bloom Agency,Mumbai,NLP Engineer,8000.0,12000.0,10000.0
Rentkar-Switch To Share,Mumbai,DevOps Engineer,10000.0,12000.0,11000.0
The Sleep Company,Mumbai,Machine Learning Engineer,25000.0,30000.0,27500.0
SPIDERWEB,Work from home,Web Development,4000.0,5000.0,4500.0
Coding Junior,Work from home,QA Engineer,8000.0,10000.0,9002.5
EduCreative Digication (OPC) Pvt. Ltd,Work from home,Full Stack Developer,5000.0,8000.0,6500.0
EduCreative Digication (OPC) Pvt. Ltd,Work from home,Full Stack Developer,5000.0,8000.0,6500.0
Green Letter Technologies,Work from home,Full Stack Developer,5000.0,10000.0,7500.0
Shrevya Technologies,Work from home,Technical Writer,15000.0,15000.0,15000.0
Musak Digital,Work from home,Data Scientist,5000.0,6500.0,5750.0
OBLYTECH INDIA PRIVATE LIMITED,Work from home,Data Scientist,7000.0,7000.0,7000.0
Switch Climate Tech,Pune,Data Scientist,10000.0,10000.0,10000.0
Relinns Technologies,Mohali,Cloud Engineer,10000.0,12000.0,11000.0
Anew Technologies,Chennai,Data Scientist,20000.0,20000.0,20000.0
Maati 16,Work from home,Data Scientist,5000.0,10000.0,7500.0
SortWind Private Limited,Work from home,Full Stack Developer,5000.0,5000.0,5000.0
CADIN360,Delhi,Full Stack Developer,5000.0,5000.0,5000.0
Vibra Softech LLP,Work from home,QA Engineer,8000.0,10000.0,9000.0
Artha Dhaara Corporate Advisory,Bhubaneswar,Android Developer,5000.0,10000.0,7500.0
Big Bulls,Work from home,Junior Developer,8000.0,30000.0,19000.0
BOOKMATIC PRIVATE LIMITED,Work from home,Software Engineer (Frontend),13000.0,18000.0,15500.0
Innovura Technologies Private Limited,Ahmedabad,QA Engineer,10000.0,12000.0,11000.0
SkillifyMe,Work from home,Full Stack Developer,3000.0,5000.0,4000.0
Maxgen Technologies Private Limited,Pune,Software Engineer (Frontend),7000.0,12000.0,9500.0
Maxgen Technologies Private Limited,Pune,Software Engineer (Backend),7000.0,12000.0,9500.0
Maxgen Technologies Private Limited,Ahmedabad,Web Development,7000.0,12000.0,9500.0
InternBit,Work from home,Full Stack Developer,25000.0,40000.0,32500.0
Amero Research & Loyalty Solutions Private Limited,Ahmedabad,QA Engineer,6000.0,12000.0,9000.0
Urbaforce Solutions Private Limited,Delhi,NLP Engineer,15000.0,16000.0,15500.0
Astirmind,"Ludhiana, Phagwara, Khanna",Data Scientist,5000.0,5000.0,5000.0
Perfect Hit Advisory,Work from home,Machine Learning Engineer,1000.0,1001.0,1000.5
Rythukart Private Limited,Work from home,Data Scientist,1000.0,2000.0,1500.0
Rythukart Private Limited,Work from home,DevOps Engineer,1000.0,2000.0,1500.0
Rythukart Private Limited,Work from home,Full Stack Developer,1000.0,2000.0,1500.0
Brave Artificial Intelligence Laboratory,Work from home,Data Scientist,15000.0,25000.0,20000.0
Brave Artificial Intelligence Laboratory,Work from home,QA Engineer,15000.0,25000.0,20000.0
Brave Artificial Intelligence Laboratory,Work from home,Data Scientist,15000.0,25000.0,20000.0
Brave Artificial Intelligence Laboratory,Work from home,Data Scientist,10000.0,20000.0,15000.0
Brave Artificial Intelligence Laboratory,Work from home,Software Engineer (Backend),10000.0,20000.0,15000.0
KC Digital Consultants,Work from home,Web Development,3000.0,3000.0,3000.0
ClearTax,Bangalore,Web Development,25000.0,30000.0,27500.0
Accel,Work from home,Data Scientist,6000.0,11000.0,8500.0
Workbinders Private Limited,Work from home,DevOps Engineer,5000.0,10000.0,7500.0
Nish E-Service OPC Private Limited,"Pune, Nagpur, Maharashtra, Chhatrapati Sambhajinagar (Aurangabad)",Web Development,2000.0,2000.0,2000.0
Minus Equals Plus,Work from home,Data Scientist,3000.0,5000.0,4000.0
Bezt Labs,Work from home,Data Scientist,10000.0,11000.0,10500.0
ReyMould Technology Solutions Private Limited,Hyderabad,Data Scientist,5000.0,10000.0,7500.0
Factacy.Ai,Gurgaon,Software Engineer (Backend),15000.0,15000.0,15000.0
The Education Diary,Work from home,iOS Developer,5000.0,7000.0,6000.0
Tealbox Digital,Gurgaon,QA Engineer,8000.0,8000.0,8000.0
Andromeda Labs,Work from home,DevOps Engineer,10000.0,10000.0,10000.0
AlfaMate,Work from home,Full Stack Developer,5000.0,12000.0,8500.0
Catalift,Work from home,Data Scientist,5000.0,8000.0,6500.0
Ideation Pitch,Delhi,iOS Developer,6000.0,12000.0,9000.0
Maxgen Technologies Private Limited,"Ahmedabad, Rajkot",Machine Learning Engineer,7000.0,12000.0,9500.0
TECHVITTA INNOVATIONS PRIVATE LIMITED,Hyderabad,Machine Learning Engineer,10000.0,10000.0,10000.0
FiftyOne DigitalMedia LLP,Indore,Data Scientist,8000.0,18000.0,13000.0
Skyingskills Edutech Pvt. Ltd.,Delhi,Software Engineer (Frontend),5000.0,10000.0,7500.0
iB Arts Private Limited,Kolkata,Data Scientist,12000.0,21000.0,16500.0
Aproposdrive Technologies,Pune,Mobile Developer,4000.0,5000.0,4500.0
Infoware,Work from home,Data Scientist,5000.0,10000.0,7500.0
Career Launcher,Delhi,UI/UX Designer,9000.0,10000.0,9500.0
Finflock Systems Private Limited,Work from home,Full Stack Developer,12000.0,14000.0,13000.0
Faclon,Mumbai,Web Development,15000.0,25000.0,20000.0
Maxgen Technologies Private Limited,Ahmedabad,Software Engineer (Frontend),7000.0,12000.0,9500.0
Plural Code Technologies,Delhi,Software Engineer (Frontend),13000.0,15000.0,14000.0
Salesqueen Software Solutions,Work from home,Web Development,2500.0,5000.0,3750.0
Aaans Services Private Limited,Work from home,Machine Learning Engineer,10000.0,30000.0,20000.0
JMedia Corporation,Work from home,Machine Learning Engineer,5000.0,15000.0,10000.0
International Institute Of SDGs & Public Policy Research,Work from home,Web Development,8000.0,10000.0,9002.5
Rythukart Private Limited,Work from home,Data Scientist,1000.0,2000.0,1500.0
Rythukart Private Limited,Work from home,Full Stack Developer,1000.0,2000.0,1500.0
Rythukart Private Limited,Work from home,Software Engineer (Backend),1000.0,2000.0,1500.0
Rythukart Private Limited,Work from home,Machine Learning Engineer,1000.0,2000.0,1500.0
Fleapo,Work from home,Cybersecurity Analyst,15000.0,16000.0,15500.0
AVTECHFIN,Delhi,Software Engineer (Frontend),3001.0,20000.0,11500.5
Atlantis Multitrade Pvt Ltd,Nagpur,Mobile Developer,4000.0,4000.0,4000.0
OyeLabs,Work from home,Web Development,5000.0,10000.0,7500.0
Trove Craft,Hyderabad,Junior Developer,8000.0,10000.0,9000.0
Attento Technologies Pvt Ltd,"Pune, Pimpri-Chinchwad",Software Engineer (Frontend),10000.0,10000.0,10000.0
Custom Elements Private Limited,Bangalore,Web Development,5000.0,5000.0,5000.0
Daten & Wissen Private Limited,Mumbai,Software Engineer (Backend),5000.0,6000.0,5500.0
Pehchaan AI Technologies,Work from home,Data Scientist,10000.0,15000.0,12500.0
NayePankh Foundation,Work from home,Data Scientist,8000.0,10000.0,9002.5
Aaptatt,Work from home,Data Scientist,20000.0,23000.0,21500.0
IQuanta,Gurgaon,Cybersecurity Analyst,11000.0,18000.0,14500.0
Digital Guruji,Work from home,Machine Learning Engineer,5000.0,5000.0,5000.0
Bezt Labs,Work from home,Machine Learning Engineer,10000.0,11000.0,10500.0
Thoughtiv,Hyderabad,Full Stack Developer,10000.0,25000.0,17500.0
Maxgen Technologies Private Limited,"Ahmedabad, Rajkot",Data Scientist,7000.0,12000.0,9500.0
Bezt Labs,Work from home,Data Scientist,10000.0,11000.0,10500.0
MAALIONDOOR SERVICES PRIVATE LIMITED,"Delhi, Ghaziabad, Noida",Data Scientist,3500.0,6000.0,4750.0
MagicMond Global,Work from home,Mobile Developer,20000.0,20000.0,20000.0
THW - The Healthy World,Pune,Android Developer,10000.0,15000.0,12500.0
Daskalos Education,Work from home,Data Scientist,6000.0,8000.0,7000.0
Byteprolabs,Bangalore,Data Scientist,15000.0,20000.0,17500.0
Lawtech,Work from home,Software Engineer (Frontend),7000.0,10000.0,8500.0
Sankalp Kumar,Noida,Web Development,16000.0,20000.0,18000.0
Deepnexus S,Work from home,Machine Learning Engineer,16000.0,24000.0,20000.0
Watrana Traction Private Limited,Delhi,Web Development,8000.0,8000.0,8000.0
HLSR Technologies (Ask IRa),Work from home,Data Scientist,10001.0,16000.0,13000.5
Inorbvict Healthcare India Private Limited,Pune,Software Engineer (Frontend),3000.0,6000.0,4500.0
Oxygen To Innovation,"Delhi, Noida",Data Scientist,15000.0,15000.0,15000.0
Emoolar Technology Private Limited,Work from home,Data Scientist,5000.0,7000.0,6000.0
Banana Threads,Work from home,Cybersecurity Analyst,2000.0,2500.0,2250.0
Infoware,Work from home,Machine Learning Engineer,6000.0,10000.0,8000.0
Mintosh Advisory,Work from home,Data Scientist,3000.0,5000.0,4000.0
Softcell Technologies Limited,Mumbai,Machine Learning Engineer,24999.0,25000.0,24999.5
WebTrafficly,Hyderabad,Data Scientist,4000.0,10000.0,7000.0
Better,Work from home,UI/UX Designer,8000.0,10000.0,9000.0
CollegeTips Ed Tech Media Private Limited,Bhopal,Machine Learning Engineer,2000.0,10000.0,6000.0
CollegeTips Ed Tech Media Private Limited,Work from home,Web Development,10000.0,25000.0,17500.0
CollegeTips Ed Tech Media Private Limited,Work from home,Machine Learning Engineer,10000.0,25000.0,17500.0
Sun Fibo Technology Private Limited,"Pune, Mumbai",Data Scientist,10000.0,15000.0,12500.0
Scale Dev,Work from home,Full Stack Developer,8000.0,10000.0,9000.0
CodeXcelerate IT Consultancy,Work from home,Web Development,2000.0,2000.0,2000.0
Viewebit,Ahmedabad,Data Scientist,6000.0,8000.0,7000.0
Netwale,"Kozhikode, Malappuram",Game Developer,500.0,1000.0,750.0
Sourcign,Work from home,Data Scientist,5000.0,15000.0,10000.0
CodeStudios,Mumbai,QA Engineer,8000.0,14000.0,11000.0
Syscon Electro Tech India Private Limited,Work from home,Cloud Engineer,8000.0,12000.0,10000.0
Syscon Electro Tech India Private Limited,Work from home,Machine Learning Engineer,8000.0,12000.0,10000.0
Ryzen Forge,Work from home,Data Scientist,4000.0,40000.0,22000.0
Artizence,Work from home,Machine Learning Engineer,5000.0,10000.0,7500.0
DPGINTECH,Work from home,Web Development,2000.0,2000.0,2000.0
COMICODE AI SOLUTIONS Private Limited,Chennai,Machine Learning Engineer,9000.0,12000.0,10500.0
Andaz Kumar,Work from home,Machine Learning Engineer,10000.0,18000.0,14000.0
Hostelery Stuff,Bareilly,Software Engineer (Frontend),8005.0,10005.0,9005.0
Fiddle,Work from home,Data Scientist,40000.0,40000.0,40000.0
Edith Defence Systems Private Limited,Navi Mumbai,Web Development,12000.0,15000.0,13500.0
Quantazone,Work from home,Data Scientist,5000.0,5000.0,5000.0
Quantazone,Work from home,Web Development,5000.0,5000.0,5000.0
RegisterKaro,Gurgaon,Data Scientist,5000.0,10000.0,7500.0
Supersourcing,Indore,Machine Learning Engineer,8000.0,10000.0,9000.0
Andaz Kumar,Work from home,Full Stack Developer,6000.0,9000.0,7500.0
Rahul Sir Classes,Work from home,Web Development,3000.0,6000.0,4500.0
Opinione,Jaipur,Game Developer,10000.0,27000.0,18500.0
Trimax Infotech Pvt. Ltd.,Vadodara,Data Scientist,2000.0,2000.0,2000.0
Codeacious Technologies Private Limited,Work from home,Data Scientist,5000.0,7000.0,6000.0
Wartin Labs,"Delhi, Noida",Software Engineer (Frontend),10000.0,10001.0,10000.5
TeamLease Regtech,Pune,Software Engineer (Frontend),7000.0,10000.0,8500.0
Unimonks,Work from home,Blockchain Developer,3500.0,6000.0,4750.0
ConversAIlabs,Work from home,Full Stack Developer,15000.0,15001.0,15000.5
Isha Tayal,Delhi,Mobile Developer,8000.0,12000.0,10000.0
Eduminatti,Work from home,Web Development,5000.0,10000.0,7500.0
Naum Systems,Work from home,Data Scientist,20000.0,20000.0,20000.0
Aaptatt,Work from home,Data Scientist,20000.0,29000.0,24500.0
Aaptatt,Work from home,Data Scientist,20000.0,29000.0,24500.0
B3NET TECHNOLOGIES,Kolkata,Machine Learning Engineer,2000.0,2000.0,2000.0
Inorbvict Healthcare India Private Limited,Pune,Machine Learning Engineer,3000.0,6000.0,4500.0
Wrexa Technologies LLC,Work from home,Game Developer,10000.0,10000.0,10000.0
Skalebuddy Software Private Limited,Work from home,Full Stack Developer,8000.0,8000.0,8000.0
Mobio Solutions,Ahmedabad,Data Scientist,5000.0,6000.0,5500.0
Techdome Solutions Private Limited,"Indore, Hyderabad",Data Scientist,10000.0,15000.0,12500.0
PlanetMeta.Live,Hyderabad,UI/UX Designer,10000.0,12000.0,11000.0
Gigin Technologies Private Limited,Bangalore,Machine Learning Engineer,20000.0,30000.0,25000.0
The Doodle Desk,Work from home,Data Scientist,5000.0,10000.0,7500.0
Techdome Solutions Private Limited,"Indore, Hyderabad",Machine Learning Engineer,10000.0,15000.0,12500.0
COSGrid Systems Private Limited,Chennai,Cloud Engineer,12000.0,20000.0,16000.0
Techdome Solutions Private Limited,"Indore, Hyderabad",Data Scientist,5000.0,10000.0,7500.0
Techdome Solutions Private Limited,"Indore, Hyderabad",Mobile Developer,10000.0,15000.0,12500.0
